bank_task_code;domain;pattern;group;subgroup;difficulty;source;title;task_description;solution_outline;common_mistakes;loaded_to_db_at
BANK_SQL_058;sql;regex;Data Handling;Strings;3;AI;Проверка формата данных;"Таблица products: id, name, article (VARCHAR)
article: 'ART-001', 'ART-002', 'MOD-123', 'art-456', 'WRONG', NULL
Задание: Найдите товары, у которых article соответствует формату: три заглавные буквы, дефис, три цифры. Пример: 'ART-001'.
Выведите: id, name, article, is_valid (1/0)";Использовать регулярные выражения с учётом начала и конца строки.;Использовать LIKE там, где требуется полноценное регулярное выражение.;2026-07-16 00:00:00
BANK_THEORY_001;theory;binomial;Distributions;Discrete;1;AI;Монета: ровно два орла;Симметричную монету подбрасывают 3 раза. Найдите вероятность того, что ровно два раза выпадет орёл. Используйте биномиальное распределение или комбинаторный подход.;Использовать биномиальную формулу (P(X=k)).;"Путать с геометрическим распределением; неверно считать сочетания.";2026-07-16 00:00:00
BANK_THEORY_002;theory;classical_probability;Probability;Basics;2;AI;Делегация из женщин;В отделе работают 5 мужчин и 7 женщин. Для участия в конференции случайным образом выбирают делегацию из 3 человек. Найдите вероятность того, что все выбранные сотрудники окажутся женщинами.;Использовать сочетания без возвращения. Вероятность получить как отношение числа благоприятных комбинаций к общему числу комбинаций.;"Использовать размещения вместо сочетаний; неверно вычислять общее число способов.";2026-07-16 00:00:00
BANK_THEORY_003;theory;classical_probability;Probability;Basics;3;AI;Вероятность встречи;Два человека договариваются встретиться между 12:00 и 13:00. Каждый приходит в случайный момент независимо от другого. Первый пришедший ждёт второго 15 минут. Найдите вероятность того, что встреча состоится. Используйте геометрическое определение вероятности.;Построить квадрат возможных моментов прихода. Выделить область, где разница времени прихода не превышает 15 минут, и вычислить её площадь.;"Решать задачу как дискретную; неверно построить геометрическую область.";2026-07-16 00:00:00
BANK_THEORY_004;theory;combinatorics;Probability;Basics;1;AI;Выбор книг;Сколькими способами можно выбрать 2 книги из 10 различных книг для поездки?;Использовать сочетания без повторений.;Использовать размещения вместо сочетаний.;2026-07-16 00:00:00
BANK_THEORY_005;theory;combinatorics;Probability;Basics;2;AI;Распределение медалей;В турнире участвуют 8 команд. Сколькими способами можно распределить золотую, серебряную и бронзовую медали между командами?;Использовать размещения без повторений, так как порядок призовых мест важен.;Использовать сочетания вместо размещений.;2026-07-16 00:00:00
BANK_THEORY_006;theory;combinatorics;Probability;Basics;3;AI;Возрастающие шестизначные числа;Сколько существует различных шестизначных чисел, в которых каждая следующая цифра строго больше предыдущей?;Свести задачу к выбору набора цифр и использовать комбинаторные рассуждения.;"Пытаться перебирать числа; забывать, что цифры не могут повторяться.";2026-07-16 00:00:00
BANK_THEORY_007;theory;conditional_probability;Probability;Conditional;1;AI;Красная карта;Из стандартной колоды из 52 карт извлекли одну карту. Известно, что карта красной масти. Найдите вероятность того, что это король.;Использовать определение условной вероятности. Рассматривать только красные карты.;Делить на 52 вместо количества красных карт.;2026-07-16 00:00:00
BANK_THEORY_008;theory;conditional_probability;Probability;Conditional;2;AI;Пользователи функций A и B;Среди 100 пользователей приложения 60 используют функцию A, 50 — функцию B, а 30 используют обе функции. Если известно, что пользователь использует функцию A, найдите вероятность того, что он также использует функцию B.;Использовать формулу условной вероятности через вероятность пересечения событий.;Путать условную вероятность с вероятностью пересечения.;2026-07-16 00:00:00
BANK_THEORY_009;theory;conditional_probability;Probability;Conditional;3;AI;Диагностический тест;Заболевание встречается у 0.5% населения. Чувствительность теста — 95%, ложноположительная вероятность — 2%. Пользователь получил положительный результат теста. Найдите вероятность того, что он действительно болен.;Использовать формулу полной вероятности и формулу Байеса. Дополнительный паттерн: bayes.;"Путать чувствительность теста с искомой вероятностью; не учитывать базовую распространённость заболевания.";2026-07-16 00:00:00
BANK_THEORY_010;theory;independence;Probability;Conditional;1;AI;Монета и кубик;Одновременно бросают монету и игральный кубик. Проверьте, являются ли события «выпала решка» и «выпало число больше 4» независимыми. Обоснуйте ответ.;Проверить условие независимости через произведение вероятностей.;Путать независимость с несовместностью.;2026-07-16 00:00:00
BANK_THEORY_011;theory;independence;Probability;Conditional;2;AI;Независимые серверы;Два независимых сервера работают параллельно. Вероятность отказа первого — 0.1, второго — 0.15. Найдите вероятность того, что за смену выйдут из строя оба сервера.;Использовать свойство независимости событий и правило умножения вероятностей.;Складывать вероятности вместо умножения.;2026-07-16 00:00:00
BANK_THEORY_012;theory;independence;Probability;Conditional;3;AI;Проверка независимости;Даны вероятности: P(A)=0.5, P(B)=0.4, P(A∪B)=0.7. Определите, являются ли события независимыми. Выполните необходимые расчёты.;Найти вероятность пересечения через формулу объединения и сравнить её с произведением вероятностей.;"Проверять только объединение событий; забывать критерий независимости.";2026-07-16 00:00:00
BANK_THEORY_013;theory;bayes;Probability;Bayes;1;AI;Источник заявки;70% посетителей приходят из поиска, 30% — по реферальным ссылкам. Конверсия поиска — 2%, рефералов — 5%. Пользователь оставил заявку. Найдите вероятность того, что он пришёл по реферальной ссылке.;Использовать формулу полной вероятности и формулу Байеса.;Игнорировать доли источников трафика.;2026-07-16 00:00:00
BANK_THEORY_014;theory;bayes;Probability;Bayes;2;AI;Бракованный станок;Три станка производят детали с разной долей брака. Первый производит 30% деталей (брак 3%), второй — 30% (2%), третий — 40% (4%). Известно, что случайно выбранная деталь оказалась бракованной. Определите вероятность того, что её изготовил третий станок.;Использовать формулу полной вероятности и формулу Байеса.;Не учитывать долю продукции каждого станка.;2026-07-16 00:00:00
BANK_THEORY_015;theory;bayes;Probability;Bayes;3;AI;Спам-фильтр;Слово «бесплатно» встречается в 80% спам-писем и в 5% обычных писем. Известно, что 60% всей почты — спам. В новом письме найдено слово «бесплатно». Найдите вероятность того, что письмо является спамом.;Использовать формулу Байеса с априорной вероятностью спама.;Путать вероятность признака с вероятностью класса.;2026-07-16 00:00:00
BANK_THEORY_016;theory;multistage_probability;Probability;Bayes;1;AI;Перекладывание шара;В первой урне 4 белых и 2 чёрных шара, во второй — 3 белых и 3 чёрных. Один случайный шар перекладывают из первой урны во вторую, после чего из второй урны извлекают один шар. Найдите вероятность того, что он окажется белым.;Разбить задачу на случаи и использовать формулу полной вероятности.;Не учитывать изменение состава второй урны после перекладывания.;2026-07-16 00:00:00
BANK_THEORY_017;theory;multistage_probability;Probability;Bayes;2;AI;Выбор урны;Есть две урны. В первой — 2 белых и 1 чёрный шар, во второй — 3 белых и 1 чёрный. Случайно выбрали урну и достали белый шар. Найдите вероятность того, что была выбрана первая урна.;Использовать формулу Байеса.;Игнорировать априорную вероятность выбора урны.;2026-07-16 00:00:00
BANK_THEORY_018;theory;multistage_probability;Probability;Bayes;3;AI;Два перекладывания между урнами;Из первой урны во вторую случайно перекладывают два шара. Затем из второй урны извлекают белый шар. Найдите вероятность того, что среди переложенных шаров был ровно один белый.;Построить дерево вероятностей, рассмотреть все варианты перекладывания и применить формулу Байеса.;Не рассматривать все возможные комбинации переложенных шаров.;2026-07-16 00:00:00
BANK_THEORY_019;theory;bernoulli;Distributions;Discrete;1;AI;Испытания Бернулли: монета;Монету подбрасывают 3 раза. Рассматривайте каждый бросок как отдельное испытание Бернулли. Опишите случайную величину «выпал орёл» и укажите вероятность успеха (p).;Определить, что одно испытание имеет два исхода, и указать параметр распределения Бернулли.;Путать испытание Бернулли с биномиальным распределением.;2026-07-16 00:00:00
BANK_THEORY_020;theory;bernoulli;Distributions;Discrete;2;AI;Недоставленная СМС;Известно, что 0.1% всех SMS не доходят до адресата. Отправляется ровно одно сообщение. Определите распределение случайной величины «сообщение не доставлено», найдите математическое ожидание и дисперсию.;Определить распределение Бернулли, затем использовать формулы (E(X)=p) и (Var(X)=p(1-p)).;Использовать биномиальное распределение вместо Бернулли.;2026-07-16 00:00:00
BANK_THEORY_021;theory;bernoulli;Distributions;Discrete;3;AI;Правдоподобие параметра Бернулли;Проверяется гипотеза о доле брака (p=0.1). Из партии случайно выбирают одно изделие. Постройте функцию правдоподобия параметра (p) по результату одного наблюдения.;Записать likelihood отдельно для успеха и неуспеха.;Путать вероятность события и функцию правдоподобия.;2026-07-16 00:00:00
BANK_THEORY_022;theory;binomial;Distributions;Discrete;1;AI;Монета: 10 бросков;Монету подбрасывают 10 раз. Найдите вероятность того, что ровно 5 раз выпадет орёл.;Использовать формулу биномиального распределения.;Ошибки в сочетаниях или степенях вероятностей.;2026-07-16 00:00:00
BANK_THEORY_023;theory;binomial;Distributions;Discrete;2;AI;Конверсия интернет-магазина;Вероятность покупки посетителем сайта равна 0.4. За день сайт посетили 15 новых пользователей. Найдите вероятность того, что покупку совершат ровно 8 человек, а также вероятность того, что покупок будет не более двух.;Построить биномиальную модель с параметрами (n=15), (p=0.4), затем вычислить требуемые вероятности.;"Неверно определить параметры модели; забывать суммировать вероятности для события «не более».";2026-07-16 00:00:00
BANK_THEORY_024;theory;binomial;Distributions;Discrete;3;AI;Холодные звонки;Менеджер делает 100 холодных звонков. Вероятность договориться о встрече равна 0.15. Найдите ожидаемое число встреч и с помощью нормальной аппроксимации оцените вероятность получить от 10 до 20 встреч.;Найти (E(X)=np), затем использовать нормальную аппроксимацию биномиального распределения. Дополнительный паттерн: normal_distribution.;"Не использовать поправку на непрерывность; применять биномиальную формулу вместо аппроксимации.";2026-07-16 00:00:00
BANK_THEORY_025;theory;geometric;Distributions;Discrete;1;AI;Первый успех;Игральный кубик бросают до первого выпадения шестёрки. Найдите вероятность того, что шестёрка впервые появится на четвёртом броске.;Использовать формулу геометрического распределения.;Путать номер попытки с количеством неудач.;2026-07-16 00:00:00
BANK_THEORY_026;theory;geometric;Distributions;Discrete;2;AI;Поиск кандидата;Вероятность того, что случайное резюме принадлежит подходящему кандидату, равна 0.05. Найдите среднее количество резюме, которое нужно просмотреть до первого подходящего кандидата.;Использовать математическое ожидание геометрического распределения.;Использовать биномиальное распределение вместо геометрического.;2026-07-16 00:00:00
BANK_THEORY_028;theory;poisson;Distributions;Discrete;1;AI;Звонки в call-центр;В call-центр в среднем поступает 4 звонка в минуту. Найдите вероятность того, что за одну минуту поступит ровно 2 звонка.;Использовать распределение Пуассона с параметром (\lambda=4).;Неверно определить параметр (\lambda).;2026-07-16 00:00:00
BANK_THEORY_029;theory;poisson;Distributions;Discrete;2;AI;Посетители сайта;В среднем на сайт заходит 30 пользователей в час. Найдите вероятность того, что за 10 минут не зайдёт ни один пользователь.;Пересчитать интенсивность на 10 минут и применить распределение Пуассона.;Использовать часовую интенсивность без пересчёта.;2026-07-16 00:00:00
BANK_THEORY_030;theory;poisson;Distributions;Discrete;3;AI;Жалобы клиентов;В среднем магазин получает 1.5 жалобы в день. Найдите вероятность того, что за неделю поступит не более 5 жалоб.;Найти недельную интенсивность и вычислить накопленную вероятность распределения Пуассона.;Использовать среднее за день вместо среднего за неделю.;2026-07-16 00:00:00
BANK_THEORY_031;theory;uniform_distribution;Distributions;Continuous;1;AI;Ожидание автобуса;Автобус приходит на остановку каждые 20 минут. Вы приходите на остановку в случайный момент времени. Найдите вероятность того, что ждать автобус придётся меньше 5 минут.;Использовать свойства равномерного распределения на отрезке. Найти отношение длины благоприятного интервала к длине всего интервала.;"Путать вероятность с временем ожидания; неверно определять длину интервала.";2026-07-16 00:00:00
BANK_THEORY_032;theory;uniform_distribution;Distributions;Continuous;2;AI;Равномерное распределение на отрезке;Случайная величина (X) равномерно распределена на отрезке ([0,10]). Найдите вероятность (P(X>7)), математическое ожидание и дисперсию.;Использовать формулы для распределения Uniform(a,b).;Ошибки в формулах математического ожидания и дисперсии.;2026-07-16 00:00:00
BANK_THEORY_033;theory;uniform_distribution;Distributions;Continuous;3;AI;Вложенное равномерное распределение;Сначала генерируется случайная величина (X\sim U(0,1)), затем (Y\sim U(0,X)). Найдите математическое ожидание (E(Y)), используя закон полного математического ожидания.;Найти условное ожидание (E(Y|X)), затем применить закон полного математического ожидания. Дополнительный паттерн: law_of_total_expectation.;Пытаться сразу интегрировать без использования условного ожидания.;2026-07-16 00:00:00
BANK_THEORY_034;theory;total_probability;Probability;Conditional;1;AI;Формула полной вероятности;Запишите формулу полной вероятности. Объясните смысл каждого элемента формулы и укажите, в каких задачах она применяется.;Записать формулу → объяснить разбиение пространства событий → привести пример применения.;Путать формулу полной вероятности с формулой Байеса.;2026-07-16 00:00:00
BANK_THEORY_035;theory;total_probability;Probability;Conditional;2;AI;Общая вероятность брака;Завод выпускает продукцию для двух рынков. 20% изделий отправляется на экспорт, вероятность брака среди них составляет 1%. Остальные 80% идут на внутренний рынок с вероятностью брака 5%. Найдите вероятность того, что случайно выбранное изделие окажется бракованным.;Разбить событие на несовместные случаи → применить формулу полной вероятности.;Забывать учитывать долю продукции каждого типа.;2026-07-16 00:00:00
BANK_THEORY_036;theory;total_probability;Probability;Conditional;3;AI;Вероятность страхового случая;Страховая компания делит клиентов на три группы риска. Для каждой группы известны её доля в портфеле и вероятность наступления страхового случая. Найдите вероятность того, что случайно выбранный клиент из всего страхового портфеля попадёт в страховой случай.;Использовать формулу полной вероятности по группам риска.;Использовать формулу Байеса вместо полной вероятности.;2026-07-16 00:00:00
BANK_THEORY_037;theory;conditional_expectation;Expectation & Variance;Expectation;1;AI;Математическое ожидание суммы с константой;Пусть случайная величина X имеет конечное математическое ожидание. Чему равно E(X+c), где c — константа? Объясните, почему выполняется это свойство.;Использовать свойства математического ожидания.;Писать E(X+c)=E(X)+E(cX).;2026-07-16 00:00:00
BANK_THEORY_038;theory;law_of_total_expectation;Expectation & Variance;Expectation;2;AI;Закон полного математического ожидания;Известно, что E(Y|X)=2X, а E(X)=5. Найдите E(Y), используя закон полного математического ожидания.;Применить E(E(Y|X)).;Забывать применять закон полного ожидания.;2026-07-16 00:00:00
BANK_THEORY_039;theory;variance_properties;Expectation & Variance;Variance;3;AI;Свойство дисперсии независимых величин;Докажите, что для независимых случайных величин X и Y выполняется равенство Var(X−Y)=Var(X)+Var(Y). Используйте свойства дисперсии и ковариации.;Разложить дисперсию суммы → показать, что Cov=0.;Не учитывать знак при ковариации.;2026-07-16 00:00:00
BANK_THEORY_040;theory;correlation_interpretation;Dependence;Covariance;1;AI;Интерпретация ковариации;Известно, что Cov(X,Y)=0. Что можно сказать о взаимосвязи между случайными величинами? Можно ли утверждать, что они независимы? Обоснуйте ответ.;Объяснить смысл ковариации и различие с независимостью.;Приравнивать нулевую ковариацию к независимости.;2026-07-16 00:00:00
BANK_THEORY_041;theory;covariance;Dependence;Covariance;2;AI;Ковариация доходностей;Доходности двух акций имеют положительную ковариацию. Объясните, что это означает для совместного поведения активов и как это влияет на риск инвестиционного портфеля.;Интерпретировать знак ковариации и влияние на риск.;Путать ковариацию с корреляцией.;2026-07-16 00:00:00
BANK_THEORY_043;theory;total_probability;Probability;Conditional;1;AI;Общая вероятность брака;Завод получает детали от двух поставщиков. Первый поставляет 60% всех деталей, вероятность брака у него составляет 2%. Второй поставляет 40% деталей с вероятностью брака 5%. Найдите общую вероятность того, что случайно выбранная деталь окажется бракованной.;Разбить событие на два несовместных случая → применить формулу полной вероятности.;"Не учитывать доли поставщиков; складывать вероятности брака напрямую.";2026-07-16 00:00:00
BANK_THEORY_044;theory;total_probability;Probability;Conditional;2;AI;Конверсия из разных каналов;Пользователи приходят на сайт из трёх источников: SEO (50% посетителей, конверсия 3%), контекстная реклама (30%, конверсия 5%) и социальные сети (20%, конверсия 1%). Найдите вероятность того, что случайный посетитель совершит конверсию.;Использовать формулу полной вероятности по источникам трафика.;Не учитывать долю каждого канала.;2026-07-16 00:00:00
BANK_THEORY_045;theory;total_probability;Probability;Conditional;3;AI;Байес через страховые группы;Страховая компания делит клиентов на три группы риска: низкий риск (60%, вероятность страховой выплаты 0.01), средний риск (30%, вероятность выплаты 0.05) и высокий риск (10%, вероятность выплаты 0.20). Известно, что случайный клиент получил страховую выплату. Найдите вероятность того, что этот клиент относится к группе высокого риска.;Сначала вычислить общую вероятность выплаты → затем применить формулу Байеса.;"Использовать только формулу полной вероятности; забыть нормировать вероятность.";2026-07-16 00:00:00
BANK_THEORY_046;theory;correlation_interpretation;Dependence;Covariance;1;AI;Ковариация и корреляция;Дайте определение ковариации Cov(X,Y). Что она измеряет? Чем ковариация отличается от коэффициента корреляции? Какие преимущества и недостатки есть у каждого показателя?;Дать определения → сравнить масштабируемость и интерпретацию.;Путать ковариацию с корреляцией.;2026-07-16 00:00:00
BANK_THEORY_047;theory;correlation;Dependence;Covariance;2;AI;Расчёт коэффициента корреляции;Доходность актива A имеет стандартное отклонение 12%, актива B — 18%. Ковариация доходностей составляет 0.015. Вычислите коэффициент корреляции между доходностями активов и интерпретируйте полученный результат.;Использовать формулу Corr = Cov/(σXσY).;Подставлять дисперсии вместо стандартных отклонений.;2026-07-16 00:00:00
BANK_THEORY_048;theory;covariance;Dependence;Covariance;3;AI;Связь ковариации и дисперсии;Докажите аналитически, что Cov(X,X)=Var(X). Затем выведите формулу Var(X+Y) через Var(X), Var(Y) и Cov(X,Y).;Использовать определения ковариации и дисперсии → вывести формулу.;Забывать удвоенную ковариацию.;2026-07-16 00:00:00
BANK_THEORY_049;theory;variance_properties;Expectation & Variance;Variance;1;AI;Свойства дисперсии;Чему равна дисперсия константы? Как изменяется дисперсия случайной величины при умножении её на константу c? Запишите соответствующие формулы и объясните их смысл.;Использовать свойства Var(c)=0 и Var(cX)=c²Var(X).;Забывать квадрат коэффициента.;2026-07-16 00:00:00
BANK_THEORY_050;theory;variance_properties;Expectation & Variance;Variance;2;AI;Линейное преобразование случайной величины;Для случайной величины известно, что Var(X)=4. Найдите Var(3X−2) и Var(−X+5). Объясните, почему прибавление константы не влияет на дисперсию.;Использовать свойства дисперсии линейного преобразования.;Менять дисперсию после прибавления константы.;2026-07-16 00:00:00
BANK_THEORY_051;theory;variance_properties;Expectation & Variance;Variance;3;AI;Дисперсия линейной комбинации;Пусть случайные величины X и Y независимы, Var(X)=2, Var(Y)=3. Определите дисперсию случайной величины Z=2X−Y+1 и объясните, почему ковариация не входит в расчёт.;Использовать формулу дисперсии линейной комбинации независимых величин.;Добавлять ковариацию при независимости.;2026-07-16 00:00:00
