task_code;domain;pattern;pattern_group;pattern_subgroup;difficulty;title;prompt;loaded_to_db_at
STAT_1905_04;statistics;effect_size;Hypothesis Testing;Decision Making;2;Значимо ≠ полезно;Значимо ≠ полезно;2026-07-16 00:00:00
STAT_1905_05;statistics;one_sample_test_selection;Parametric Analysis;One Sample Tests;2;Выбор статистического теста;Выбор статистического теста;2026-07-16 00:00:00
STAT_1905_06;statistics;type1_type2;Hypothesis Testing;Decision Making;1;Ошибки 1 и 2 рода;Ошибки 1 и 2 рода;2026-07-16 00:00:00
STAT_1905_07;statistics;p_value;Hypothesis Testing;Foundations;2;Ловушки формулировок p-value;Ловушки формулировок p-value;2026-07-16 00:00:00
STAT_2005_01;statistics;ecdf;Descriptive Statistics;ECDF;2;ЭФР — интерпретация;ЭФР — интерпретация;2026-07-16 00:00:00
STAT_2005_02;statistics;ecdf;Descriptive Statistics;ECDF;2;ЭФР — построение руками;ЭФР — построение руками;2026-07-16 00:00:00
STAT_2005_03;statistics;central_limit_theorem;Hypothesis Testing;Foundations;2;Можно ли применять ЦПТ;Можно ли применять ЦПТ;2026-07-16 00:00:00
STAT_2005_04;statistics;central_limit_theorem;Hypothesis Testing;Foundations;2;Рост n → SE → стабильность;Рост n → SE → стабильность;2026-07-16 00:00:00
PROB_2005_09;theory;density_interpretation;Distributions;Distribution Functions;2;ЭФР vs теоретическая ФР;ЭФР vs теоретическая ФР;2026-07-16 00:00:00
STAT_2005_06;statistics;central_limit_theorem;Hypothesis Testing;Foundations;2;Почему ЦПТ помогает t-тесту;Почему ЦПТ помогает t-тесту;2026-07-16 00:00:00
STAT_2005_07;statistics;central_limit_theorem;Hypothesis Testing;Foundations;2;p-value + ЦПТ;p-value + ЦПТ;2026-07-16 00:00:00
SQL_2105_02;sql;basic_string_functions;Data Handling;Strings;1;фильтрация строк;фильтрация строк;2026-07-16 00:00:00
SQL_2105_03;sql;retention;Product Analytics;User Lifecycle;2;дни с первой транзакции + флаг нового клиента;дни с первой транзакции + флаг нового клиента;2026-07-16 00:00:00
SQL_2105_04;sql;pivot_unpivot;Data Handling;Data Reshaping;2;long → wide;преобразование строк и столбцов;2026-07-16 00:00:00
STAT_2105_01;statistics;point_estimation;Estimation;Point Estimation;2;Выборочное среднее как оценка;Выборочное среднее как оценка;2026-07-16 00:00:00
STAT_2105_02;statistics;interval_estimation;Estimation;Confidence Intervals;2;Интервал и его смысл;Интервал и его смысл;2026-07-16 00:00:00
STAT_2105_03;statistics;parameter_vs_statistic;Estimation;Estimation Concepts;1;Отличить параметр от статистики;Отличить параметр от статистики;2026-07-16 00:00:00
STAT_2105_04;statistics;point_estimation;Estimation;Point Estimation;2;Что именно оцениваем;Что именно оцениваем;2026-07-16 00:00:00
STAT_2105_05;statistics;parameter_vs_statistic;Estimation;Estimation Concepts;2;Почему оценка лучше числа;Почему оценка лучше числа;2026-07-16 00:00:00
STAT_2105_06;statistics;parameter_vs_statistic;Estimation;Estimation Concepts;2;Свойства оценок;Свойства оценок;2026-07-16 00:00:00
STAT_2105_07;statistics;parameter_vs_statistic;Estimation;Estimation Concepts;1;Связать оценку + статистику + параметр;Связать оценку + статистику + параметр;2026-07-16 00:00:00
STAT_2105_08;statistics;sampling_design;Experimental Design;Sampling;1;Почему используем выборки;Почему используем выборки;2026-07-16 00:00:00
PROB_2105_09;theory;expectation;Expectation & Variance;Expectation;1;Математическое ожидание;ожидаемое значение;2026-07-16 00:00:00
PROB_2105_10;theory;variance;Expectation & Variance;Variance;2;Дисперсия случайной величины;оценить разброс;2026-07-16 00:00:00
PROB_2105_11;theory;binomial;Distributions;Discrete;1;Биномиальное распределение — реальные данные;Биномиальное распределение — реальные данные;2026-07-16 00:00:00
PROB_2105_12;theory;geometric;Distributions;Discrete;1;Ожидание до первого успеха;ожидаемое значение;2026-07-16 00:00:00
PROB_2105_13;theory;poisson;Distributions;Discrete;1;Пуассон → матожидание и дисперсия;Пуассон → матожидание и дисперсия;2026-07-16 00:00:00
STAT_2105_14;statistics;mean_vs_median;Descriptive Statistics;Central Tendency;1;Среднее vs медиана;Среднее vs медиана;2026-07-16 00:00:00
STAT_2105_15;statistics;outliers;Descriptive Statistics;Z-score For Outliers;1;Влияние выбросов;Влияние выбросов;2026-07-16 00:00:00
PROB_2105_16;theory;expectation;Expectation & Variance;Expectation;1;Линейность матожидания;ожидаемое значение;2026-07-16 00:00:00
PROB_2105_17;theory;variance;Expectation & Variance;Variance;2;Интерпретация дисперсии;оценить разброс;2026-07-16 00:00:00
PROB_2105_18;theory;z_score;Distributions;Normal Distribution;1;Интерпретация z-score;Интерпретация z-score;2026-07-16 00:00:00
PROB_2105_01;theory;expectation;Expectation & Variance;Expectation;2;Матожидание для принятия решения;ожидаемое значение;2026-07-16 00:00:00
SQL_2205_02;sql;cross_join;SQL Core;Joins;2;Все комбинации без продаж;объединение таблиц;2026-07-16 00:00:00
SQL_2205_03;sql;date_functions;Data Handling;Dates;1;Работа с месяцами;Работа с месяцами;2026-07-16 00:00:00
STAT_2205_01;statistics;mean_vs_median;Descriptive Statistics;Central Tendency;1;Среднее vs медиана → выбросы;Среднее vs медиана → выбросы;2026-07-16 00:00:00
PROB_2205_02;theory;z_score;Distributions;Normal Distribution;1;Z-score + интерпретация;Z-score + интерпретация;2026-07-16 00:00:00
STAT_2205_03;statistics;statistical_power;Hypothesis Testing;Decision Making;2;Можно ли выкатывать B;Можно ли выкатывать B;2026-07-16 00:00:00
PROB_2205_05;theory;expectation;Expectation & Variance;Expectation;1;Ожидаемое число событий;ожидаемое значение;2026-07-16 00:00:00
PROB_2205_06;theory;correlation_interpretation;Dependence;Covariance;1;Корреляция ≠ причинность;Корреляция ≠ причинность;2026-07-16 00:00:00
STAT_2205_08;statistics;hypothesis_formulation;Hypothesis Testing;Foundations;1;H0/H1;H0/H1;2026-07-16 00:00:00
PROB_2205_01;theory;expectation_variance;Expectation & Variance;Variance;2;E(X)+Var(X);ожидаемое значение;2026-07-16 00:00:00
PROB_2205_07;theory;expectation;Expectation & Variance;Expectation;1;Ожидаемое число кликов;ожидаемое значение;2026-07-16 00:00:00
STAT_2205_09;statistics;p_value;Hypothesis Testing;Foundations;2;p-value и выкатка;p-value и выкатка;2026-07-16 00:00:00
STAT_2205_10;statistics;one_sample_test_selection;Parametric Analysis;One Sample Tests;3;Как выбрать модель;Как выбрать модель;2026-07-16 00:00:00
SQL_2305_01;sql;retention;Product Analytics;User Lifecycle;2;Вернулся хотя бы один раз после дня N;регистрация → активность → удержание;2026-07-16 00:00:00
SQL_2305_02;sql;regex;Data Handling;Strings;2;Выделение домена из email;извлечение и очистка строк через regex;2026-07-16 00:00:00
SQL_2305_03;sql;aggregation;SQL Core;Aggregation;1;Найти минимум по группе;Найти минимум по группе;2026-07-16 00:00:00
SQL_2305_04;sql;aggregation;SQL Core;Aggregation;2;Сумма + среднее + последний заказ;Сумма + среднее + последний заказ;2026-07-16 00:00:00
SQL_2305_05;sql;conditional_aggregation;SQL Core;Aggregation;2;Процент дозвона;агрегаты с CASE/FILTER для расчета долей и метрик;2026-07-16 00:00:00
SQL_2505_01;sql;anti_join;SQL Core;Joins;2;Нет заказов 60 дней;Нет заказов 60 дней;2026-07-16 00:00:00
SQL_2505_02;sql;topn_per_group;SQL Core;Window Functions;1;Top-N по агрегату;сравнение внутри группы;2026-07-16 00:00:00
SQL_2505_03;sql;rank_dense_rank;SQL Core;Window Functions;3;Среднее → rank;Среднее → rank;2026-07-16 00:00:00
SQL_2505_04;sql;row_number;SQL Core;Window Functions;2;Второй заказ;найти дату и сумму второго события;2026-07-16 00:00:00
SQL_2505_05;sql;having;SQL Core;Aggregation;1;count + sum + last event;count + sum + last event;2026-07-16 00:00:00
SQL_2505_06;sql;running_aggregates;SQL Core;Window Functions;2;Баланс нарастающим итогом;Баланс нарастающим итогом;2026-07-16 00:00:00
SQL_2605_01;sql;percentile_functions;SQL Core;Window Functions;2;percentile_cont vs disc;percentile_cont vs disc;2026-07-16 00:00:00
SQL_2605_02;sql;string_concat;Data Handling;Strings;1;ФИО;ФИО;2026-07-16 00:00:00
SQL_2605_03;sql;aggregation;SQL Core;Aggregation;2;Уроки + агрегаты;Уроки + агрегаты;2026-07-16 00:00:00
SQL_2605_04;sql;retention;Product Analytics;User Lifecycle;2;Первые 30 дней;сравнение внутри группы;2026-07-16 00:00:00
SQL_2605_05;sql;row_number;SQL Core;Window Functions;3;Последний фильм;Последний фильм;2026-07-16 00:00:00
SQL_2705_01;sql;aggregation;SQL Core;Aggregation;1;Все попытки неправильные;;2026-07-16 00:00:00
SQL_2705_02;sql;running_aggregates;SQL Core;Window Functions;3;Баланс начисления − списания;;2026-07-16 00:00:00
SQL_2705_03;sql;conditional_aggregation;SQL Core;Aggregation;2;Начали → ответили;начали vs ответили хотя бы один раз;2026-07-16 00:00:00
SQL_2705_04;sql;weighted_average;SQL Core;Aggregation;2;Взвешенное среднее;;2026-07-16 00:00:00
SQL_2705_05;sql;conditional_aggregation;SQL Core;Aggregation;2;Доля успешных отправок;success rate через CASE внутри aggregate;2026-07-16 00:00:00
SQL_2705_06;sql;row_number;SQL Core;Window Functions;3;Первая транзакция;найти первый event пользователя;2026-07-16 00:00:00
SQL_2705_07;sql;percentile_functions;SQL Core;Window Functions;2;Медианное время;медиана интервала между событиями;2026-07-16 00:00:00
SQL_2805_01;sql;topn_per_group;SQL Core;Window Functions;1;Самый дорогой заказ;top-1 внутри группы через row_number;2026-07-16 00:00:00
SQL_2805_02;sql;retention;Product Analytics;User Lifecycle;2;Когорты покупок;первая покупка → diff по месяцам;2026-07-16 00:00:00
SQL_2805_03;sql;rank_dense_rank;SQL Core;Window Functions;2;Вторая зарплата;найти второе максимальное значение;2026-07-16 00:00:00
PROB_2805_01;theory;independence;Probability;Conditional;1;Независимость событий;проверить независимость через P(A∩B)=P(A)P(B);2026-07-16 00:00:00
PROB_2805_02;theory;conditional_probability;Probability;Conditional;2;Красная карта;известно условие → пересчитать пространство исходов;2026-07-16 00:00:00
PROB_2805_03;theory;bayes;Probability;Bayes;2;Болезнь и тест;положительный тест → вероятность болезни;2026-07-16 00:00:00
PROB_2805_04;theory;bayes;Probability;Bayes;2;Шулерская кость;наблюдение обновляет вероятность гипотезы;2026-07-16 00:00:00
SQL_2905_01;sql;aggregation;SQL Core;Aggregation;3;Спящие киты;высокий LTV и нет активности N дней;2026-07-16 00:00:00
SQL_2905_02;sql;row_number;SQL Core;Window Functions;3;Последний статус;взять последнюю запись пользователя;2026-07-16 00:00:00
SQL_2905_03;sql;deduplication;Data Modeling;Data Quality;2;Удаление дублей;оставить последнюю запись по ключу;2026-07-16 00:00:00
PROB_0106_01;theory;distribution_properties;Distributions;Distribution Concepts;1;Определение распределений;по сюжету определить распределение;2026-07-16 00:00:00
PROB_0106_02;theory;poisson;Distributions;Discrete;1;Пуассон;вероятность числа событий;2026-07-16 00:00:00
PROB_0106_03;theory;uniform_distribution;Distributions;Continuous;1;Равномерное распределение;среднее и вероятность интервала;2026-07-16 00:00:00
PROB_0106_04;theory;geometric;Distributions;Discrete;1;Геометрическое ожидание;среднее число попыток;2026-07-16 00:00:00
PROB_0106_05;theory;exponential_distribution;Distributions;Continuous;2;Экспоненциальное распределение;λ и вероятности ожидания;2026-07-16 00:00:00
PROB_0106_07;theory;normal_distribution;Distributions;Continuous;1;Нормальное распределение;z-score и вероятности;2026-07-16 00:00:00
PROB_0106_06;theory;distribution_concept;Distributions;Distribution Concepts;1;Пуассон ↔ экспонента;связь числа событий и времени;2026-07-16 00:00:00
PROB_0106_08;theory;sigma_rule;Distributions;Normal Distribution;1;Правило сигм;интервалы и хвосты;2026-07-16 00:00:00
PROB_0106_09;theory;distribution_properties;Distributions;Distribution Concepts;1;Связи распределений;Бернулли → биномиальное и др.;2026-07-16 00:00:00
STAT_0106_01;statistics;variable_types;Descriptive Statistics;Data Types;1;Типы переменных;определить тип переменной;2026-07-16 00:00:00
STAT_0106_02;statistics;sampling_design;Experimental Design;Sampling;1;Выборка;выбрать способ формирования выборки;2026-07-16 00:00:00
PROB_0106_10;theory;classical_probability;Probability;Basics;1;Хотя бы один успех;вероятность через дополнение;2026-07-16 00:00:00
PROB_0106_11;theory;bayes;Probability;Bayes;2;Руководитель и пол;причина по наблюдению;2026-07-16 00:00:00
PROB_0106_12;theory;distribution_properties;Distributions;Distribution Concepts;1;Подбор распределения;сопоставить ситуацию и распределение;2026-07-16 00:00:00
STAT_0106_07;statistics;mean_vs_median;Descriptive Statistics;Central Tendency;1;Среднее, медиана, мода;анализ распределения данных;2026-07-16 00:00:00
SQL_0106_01;sql;row_number;SQL Core;Window Functions;3;Первый статус;взять первую запись пользователя;2026-07-16 00:00:00
SQL_0106_02;sql;conditional_aggregation;SQL Core;Aggregation;2;Начал → ответил → завершил;построить этапы прохождения теста;2026-07-16 00:00:00
SQL_0106_03;sql;aggregation;SQL Core;Aggregation;2;Пользователи по темам;агрегировать уникальные сущности;2026-07-16 00:00:00
SQL_0106_04;sql;gaps_islands;SQL Core;Window Functions;3;Самая длинная серия;максимальный streak пользователя;2026-07-16 00:00:00
SQL_0106_05;sql;rolling_window;SQL Core;Time Series;2;Rolling 30 дней;окно по календарному интервалу;2026-07-16 00:00:00
SQL_0106_06;sql;anti_join;SQL Core;Joins;2;Нет событий в периоде;найти отсутствующие продажи;2026-07-16 00:00:00
SQL_0106_07;sql;aggregation;SQL Core;Aggregation;1;Среднемесячный показатель;агрегировать по месяцам;2026-07-16 00:00:00
SQL_0106_08;sql;simple_filtering;SQL Core;Basics;1;Фильтрация диапазона;отбор по условию;2026-07-16 00:00:00
SQL_0106_09;sql;date_functions;Data Handling;Dates;1;Фильтрация дат;отбор по периоду;2026-07-16 00:00:00
SQL_0106_10;sql;conditional_aggregation;SQL Core;Aggregation;2;Quality и percentage;агрегаты по условиям;2026-07-16 00:00:00
SQL_0106_11;sql;conditional_aggregation;SQL Core;Aggregation;2;Approved transactions;условные агрегаты и NULL;2026-07-16 00:00:00
PROB_0306_01;theory;uniform_distribution;Distributions;Continuous;1;Равномерное распределение;плотность, функция распределения и вероятности;2026-07-16 00:00:00
PROB_0306_02;theory;uniform_distribution;Distributions;Continuous;1;Свойства Uniform;матожидание, дисперсия, вероятности;2026-07-16 00:00:00
PROB_0306_03;theory;exponential_distribution;Distributions;Continuous;2;Экспоненциальное распределение;λ, среднее время и вероятности;2026-07-16 00:00:00
PROB_0306_04;theory;exponential_distribution;Distributions;Continuous;2;Свойства Exponential;связь среднего и интенсивности;2026-07-16 00:00:00
STAT_0306_05;statistics;variable_types;Descriptive Statistics;Data Types;1;Типы переменных (аэропорт);определить типы данных;2026-07-16 00:00:00
STAT_0306_06;statistics;sampling_design;Experimental Design;Sampling;1;Дизайн выборки;спроектировать репрезентативную выборку;2026-07-16 00:00:00
STAT_0306_01;statistics;mean_vs_median;Descriptive Statistics;Central Tendency;1;Среднее, медиана, выбросы;анализ распределения данных;2026-07-16 00:00:00
PROB_0306_07;theory;independence;Probability;Conditional;2;Вероятность отсутствия сбоев;вероятность за несколько независимых периодов;2026-07-16 00:00:00
PROB_0306_08;theory;bayes;Probability;Bayes;2;Редкое заболевание;применение формулы Байеса;2026-07-16 00:00:00
PROB_0306_09;theory;distribution_properties;Distributions;Distribution Concepts;1;Соотнесение распределений;распознать распределение по описанию;2026-07-16 00:00:00
PROB_0306_10;theory;uniform_distribution;Distributions;Continuous;1;Равномерное распределение;плотность, функция распределения и вероятности;2026-07-16 00:00:00
PROB_0306_11;theory;uniform_distribution;Distributions;Continuous;1;Свойства Uniform;матожидание, дисперсия, вероятности;2026-07-16 00:00:00
PROB_0306_12;theory;exponential_distribution;Distributions;Continuous;2;Экспоненциальное распределение;λ, среднее время и вероятности;2026-07-16 00:00:00
PROB_0306_13;theory;exponential_distribution;Distributions;Continuous;2;Свойства Exponential;связь среднего и интенсивности;2026-07-16 00:00:00
PROB_0406_01;theory;covariance;Dependence;Covariance;2;Ковариация и корреляция;вычислить E(X), E(Y), Cov, Corr;2026-07-16 00:00:00
PROB_0406_02;theory;correlation;Dependence;Covariance;2;Формулы ковариации и корреляции;Corr и Var(X+Y);2026-07-16 00:00:00
PROB_0406_03;theory;correlation_interpretation;Dependence;Covariance;1;Корреляция ≠ независимость;понимание ограничений корреляции;2026-07-16 00:00:00
PROB_0406_04;theory;expectation_variance;Expectation & Variance;Variance;2;Матожидание и дисперсия;вычисление через закон распределения;2026-07-16 00:00:00
PROB_0406_05;theory;conditional_probability;Probability;Conditional;2;Карты и условная вероятность;вероятность после получения информации;2026-07-16 00:00:00
PROB_0406_06;theory;bayes;Probability;Bayes;2;Байес с шулерской костью;обновление вероятностей;2026-07-16 00:00:00
PROB_0406_07;theory;poisson;Distributions;Discrete;1;Пуассон;вероятность хотя бы одного события;2026-07-16 00:00:00
PROB_0406_08;theory;exponential_distribution;Distributions;Continuous;2;Экспоненциальное распределение;λ и вероятности;2026-07-16 00:00:00
PROB_0406_09;theory;normal_distribution;Distributions;Continuous;1;Нормальное распределение;правило сигм и z-score;2026-07-16 00:00:00
STAT_0406_01;statistics;variable_types;Descriptive Statistics;Data Types;1;Типы переменных (кинотеатр);определить типы данных;2026-07-16 00:00:00
STAT_0406_02;statistics;sampling_design;Experimental Design;Sampling;1;Выборка сотрудников;спроектировать выборку;2026-07-16 00:00:00
STAT_0406_04;statistics;summary_statistics;Descriptive Statistics;Summary Statistics;1;Среднее, медиана, IQR;анализ зарплат и выбросов;2026-07-16 00:00:00
PROB_0406_10;theory;classical_probability;Probability;Basics;1;Сумма двух кубиков;вероятность суммы 7;2026-07-16 00:00:00
PROB_0406_11;theory;bayes;Probability;Bayes;2;Спам-фильтр;Байес для классификации;2026-07-16 00:00:00
PROB_0406_12;theory;distribution_properties;Distributions;Distribution Concepts;1;Распределения (новый набор);распознать распределение по описанию;2026-07-16 00:00:00
STAT_0406_05;statistics;mean_vs_median;Descriptive Statistics;Central Tendency;2;Среднее vs медиана;интерпретировать различие между средним и медианой;2026-07-16 00:00:00
PROB_0406_13;theory;variance;Expectation & Variance;Variance;1;Интерпретация стандартного отклонения;объяснить разброс без формул;2026-07-16 00:00:00
STAT_0406_07;statistics;summary_statistics;Descriptive Statistics;Summary Statistics;3;Интерпретация boxplot в A/B тесте;оценить стабильность результата;2026-07-16 00:00:00
SQL_0406_01;sql;sql_reading;SQL Core;Basics;1;Второй заказ пользователя;прочитать запрос и объяснить логику;2026-07-16 00:00:00
SQL_0406_02;sql;grain_analysis;Data Modeling;Grain & Relationships;2;Дублирование выручки после join;найти логическую ошибку агрегации;2026-07-16 00:00:00
SQL_0406_03;sql;retention;Product Analytics;User Lifecycle;2;Подготовка когортной таблицы;рассчитать month_number;2026-07-16 00:00:00
SQL_0406_04;sql;as_of_join;SQL Core;Joins;3;Цена на момент заказа;выбрать способ реализации as-of join;2026-07-16 00:00:00
SQL_0406_05;sql;churn;Product Analytics;User Lifecycle;2;Поиск ушедших пользователей;определить churn через последнюю активность;2026-07-16 00:00:00
SQL_0406_06;sql;pivot_unpivot;Data Handling;Data Reshaping;2;Long → Wide (5 атрибутов);pivot через conditional aggregation;2026-07-16 00:00:00
SQL_0406_07;sql;grain_analysis;Data Modeling;Grain & Relationships;2;Grain после нескольких join;анализ уровня детализации;2026-07-16 00:00:00
SQL_0406_08;sql;aggregation_concepts;SQL Theory;Aggregation;1;COUNT(*) vs COUNT(column);интерпретация агрегатов;2026-07-16 00:00:00
SQL_0406_09;sql;anti_join;SQL Core;Joins;2;NOT EXISTS vs NOT IN;сравнение подходов;2026-07-16 00:00:00
SQL_0406_10;sql;join_concepts;SQL Theory;Joins;2;DISTINCT после JOIN;когда оправдан, а когда нет;2026-07-16 00:00:00
SQL_0506_01;sql;sql_reading;SQL Core;Basics;1;Первая покупка пользователя;прочитать запрос и объяснить результат;2026-07-16 00:00:00
SQL_0506_02;sql;sql_reading;SQL Core;Basics;1;WHERE после LEFT JOIN;найти логическую ошибку;2026-07-16 00:00:00
SQL_0506_03;sql;date_functions;Data Handling;Dates;1;Первый и последний день месяца;работа с датами;2026-07-16 00:00:00
SQL_0506_04;sql;date_functions;Data Handling;Dates;1;Days Since Registration;расчёт разницы между датами;2026-07-16 00:00:00
SQL_0506_05;sql;as_of_join;SQL Core;Joins;3;Price At Sale;цена на момент продажи;2026-07-16 00:00:00
SQL_0506_06;sql;churn;Product Analytics;User Lifecycle;2;Churn Users;пользователи без активности более 30 дней;2026-07-16 00:00:00
SQL_0506_07;sql;running_aggregates;SQL Core;Window Functions;2;Running Average;накопительное среднее пользователя;2026-07-16 00:00:00
SQL_0606_01;sql;sql_reading;SQL Core;Basics;1;Средний интервал между заказами;чтение запроса с LAG;2026-07-16 00:00:00
SQL_0606_02;sql;grain_analysis;Data Modeling;Grain & Relationships;2;Размножение заказов через order_items;анализ ошибки агрегации;2026-07-16 00:00:00
SQL_0606_03;sql;date_functions;Data Handling;Dates;1;Начало и конец недели;работа с датами;2026-07-16 00:00:00
SQL_0606_04;sql;date_functions;Data Handling;Dates;1;Заказы в первые 30 дней;фильтрация по интервалу;2026-07-16 00:00:00
SQL_0606_05;sql;as_of_join;SQL Core;Joins;3;Статус карты на момент транзакции;as-of join;2026-07-16 00:00:00
SQL_0606_06;sql;row_number;SQL Core;Window Functions;3;Первый заказ после регистрации;first event after;2026-07-16 00:00:00
SQL_0606_07;sql;grain_analysis;Data Modeling;Grain & Relationships;2;Средний чек клиента;анализ grain после join;2026-07-16 00:00:00
SQL_0606_08;sql;window_function_concepts;SQL Theory;Window Functions;2;LAG vs LEAD;отличие оконных функций;2026-07-16 00:00:00
SQL_0606_09;sql;sql_reading;SQL Core;Basics;2;COUNT DISTINCT;почему работает медленнее;2026-07-16 00:00:00
SQL_0606_10;sql;grain_analysis;Data Modeling;Grain & Relationships;2;Grain после JOIN;когда нужно задуматься о grain;2026-07-16 00:00:00
SQL_2605_06;sql;aggregation;SQL Core;Aggregation;2;Абитуриенты и уроки;;2026-07-16 00:00:00
SQL_2605_07;sql;retention;Product Analytics;User Lifecycle;2;Транзакции первого месяца;;2026-07-16 00:00:00
SQL_2605_08;sql;row_number;SQL Core;Window Functions;1;Последний купленный фильм;;2026-07-16 00:00:00
SQL_0806_01;sql;sql_reading;SQL Core;Basics;1;Order Frequency Segments;Определить, что считает запрос сегментации пользователей по количеству заказов и какой бизнес-вопрос он решает;2026-07-16 00:00:00
SQL_0806_02;sql;grain_analysis;Data Modeling;Grain & Relationships;2;Revenue By Country Join Debugging;Найти логическую проблему в расчёте выручки по странам после join customers и orders;2026-07-16 00:00:00
SQL_0806_03;sql;date_functions;Data Handling;Dates;1;Date Parts Extraction;Из даты заказа получить год, квартал, месяц и неделю;2026-07-16 00:00:00
SQL_0806_04;sql;date_functions;Data Handling;Dates;1;Account Age Calculation;Рассчитать возраст аккаунта в днях относительно current_date;2026-07-16 00:00:00
SQL_0806_05;sql;conditional_aggregation;SQL Core;Aggregation;2;Signup Verification Purchase Funnel;Посчитать пользователей на этапах signup → verification → purchase с учётом последовательности;2026-07-16 00:00:00
SQL_0806_06;sql;conditional_aggregation;SQL Core;Aggregation;2;Paid vs Cancelled Amount;Рассчитать суммы оплаченных и отменённых заказов по пользователям;2026-07-16 00:00:00
SQL_0806_07;sql;aggregation;SQL Core;Aggregation;2;Users With 2+ Orders;Найти пользователей, совершивших два и более заказа, через агрегирование и окно;2026-07-16 00:00:00
SQL_0806_08;sql;lag_lead;SQL Core;Window Functions;2;Increasing Purchases;Найти пользователей, у которых каждая следующая покупка строго больше предыдущей;2026-07-16 00:00:00
SQL_0806_09;sql;conditional_aggregation;SQL Core;Aggregation;2;Lowest Success Problems;Найти задачи с самой низкой долей успешных отправок среди популярных задач;2026-07-16 00:00:00
SQL_0806_10;sql;conditional_aggregation;SQL Core;Aggregation;2;Test Completion Funnel;Рассчитать started, answered и finished пользователей по тестам;2026-07-16 00:00:00
