pattern;domain;group;subgroup;how_to_identify;when_to_use;interview_priority;loaded_to_db_at;cnt tasks;cnt_bank;in_tree
dimensional_modeling;sql;Data Modeling;Grain & Relationships;"Таблица фактов и измерений; аналитическая модель; проектирование структуры данных.";Когда требуется построить или понять аналитическую модель данных.;4;2026-07-16 00:00:00;2;3;YES
retention;sql;Product Analytics;User Lifecycle;В условии есть когорты, повторные визиты, D1/D7/D30 retention, возвращение пользователей через некоторое время.;Когда необходимо измерить удержание пользователей между периодами или когортами.;5;2026-07-16 00:00:00;31;4;YES
churn;sql;Product Analytics;User Lifecycle;"Нужно найти пользователей, которые перестали совершать действия; определить отток; вычислить churn rate или список ушедших пользователей.";Когда требуется определить пользователей, переставших пользоваться продуктом или ушедших за определённый период.;5;2026-07-16 00:00:00;2;3;YES
aggregation;sql;SQL Core;Aggregation;Посчитать сумму, среднее, количество, минимум, максимум по группам.;Когда требуется агрегировать данные по группам.;5;2026-07-16 00:00:00;43;10;YES
conditional_aggregation;sql;SQL Core;Aggregation;"Посчитать только активных пользователей; условие внутри SUM/COUNT.";Когда агрегаты считаются только для части строк.;5;2026-07-16 00:00:00;34;7;YES
weighted_average;sql;SQL Core;Aggregation;"Средневзвешенное; количество; вес;";Когда среднее должно учитывать вес наблюдений.;5;2026-07-16 00:00:00;1;3;YES
having;sql;SQL Core;Aggregation;"Нужно оставить только те группы, которые удовлетворяют условию по агрегатам: ""клиенты с более чем 5 заказами"", ""категории с суммой продаж больше 10000"".";Когда необходимо фильтровать результаты после агрегирования (GROUP BY).;5;2026-07-16 00:00:00;14;4;YES
simple_filtering;sql;SQL Core;Basics;Нужно отфильтровать данные по одному или нескольким условиям (WHERE), выбрать нужные записи.;Когда нужно выбрать строки по заданным условиям.;5;2026-07-16 00:00:00;1;3;YES
sql_reading;sql;SQL Core;Basics;"В условии уже дан SQL-код; нужно объяснить, что он делает, найти ошибку или определить результат выполнения.";Когда задача требует понять существующий SQL-запрос, найти ошибку или объяснить результат.;4;2026-07-16 00:00:00;22;3;YES
pattern_recognition;sql;SQL Core;Basics;"В условии не спрашивают конкретную функцию; нужно самостоятельно понять, какой паттерн использовать.";Когда главная задача — определить, какой SQL-подход подходит для решения.;5;2026-07-16 00:00:00;2;3;YES
anti_join;sql;SQL Core;Joins;"""Не совершали"", ""не имеют"", ""отсутствуют записи"", ""без заказов"".";Когда нужно найти записи, для которых нет соответствий в другой таблице.;5;2026-07-16 00:00:00;20;4;YES
as_of_join;sql;SQL Core;Joins;"""Актуальная запись на момент"", ""последняя цена до даты"", ""состояние на дату"".";Когда запись нужно сопоставить с последним известным состоянием на определённую дату.;4;2026-07-16 00:00:00;12;3;YES
cross_join;sql;SQL Core;Joins;"Все комбинации; декартово произведение; календарь × пользователи.";Когда требуется получить все возможные комбинации строк двух таблиц.;3;2026-07-16 00:00:00;1;3;YES
relational_division;sql;SQL Core;Joins;"""Купили все товары"", ""посетили все курсы"", ""имеют все категории"".";Когда нужно найти объекты, удовлетворяющие всем условиям из набора.;3;2026-07-16 00:00:00;1;4;YES
join;sql;SQL Core;Joins;"Требуется объединить две или более таблицы для получения итогового набора данных; отсутствуют признаки Anti JOIN, AS OF JOIN, SELF JOIN, CROSS JOIN или Relational Division.";Когда главная задача состоит в объединении данных из нескольких таблиц по связанным ключам без использования специализированных паттернов JOIN.;5;2026-07-16 00:00:00;10;6;YES
self_join;sql;SQL Core;Joins;"Таблица соединяется сама с собой; поиск руководителей; предыдущих событий; иерархий.";Когда таблицу необходимо соединить саму с собой.;4;2026-07-16 00:00:00;9;6;YES
null_vs_empty_result;sql;SQL Core;NULL Handling;"Используются COALESCE, NULLIF, CASE, агрегаты, подзапросы; требуется различить NULL, пустой результат или заменить отсутствующее значение.";Когда необходимо корректно обработать отсутствие значения или отсутствие результата запроса.;4;2026-07-16 00:00:00;2;3;YES
exists;sql;SQL Core;Subqueries / CTE;"В условии есть «существует», «есть хотя бы одна запись», «есть связанные данные», «найти клиентов, у которых есть заказы»; используется EXISTS или NOT EXISTS.";Когда необходимо проверить существование связанных записей без использования обычного JOIN.;5;2026-07-16 00:00:00;13;4;YES
recursive_cte;sql;SQL Core;Subqueries / CTE;"Иерархии сотрудников, деревья категорий, графы, цепочки родителей/потомков; заранее неизвестно количество уровней вложенности; используется WITH RECURSIVE.";Когда необходимо обойти иерархическую структуру произвольной глубины с помощью рекурсивного CTE.;3;2026-07-16 00:00:00;12;3;YES
any_all;sql;SQL Core;Subqueries / CTE;"В условии требуется сравнить значение со всеми или хотя бы одним значением из результата подзапроса; используются конструкции = ANY, > ANY, < ALL, >= ALL и аналогичные.";Когда необходимо сравнить значение с результатом подзапроса, содержащего несколько строк, используя операторы ANY или ALL.;2;2026-07-16 00:00:00;2;3;YES
rolling_window;sql;SQL Core;Time Series;В условии есть «последние N дней», «скользящее среднее», «rolling average», «moving window», окно по диапазону дат или строк с использованием OVER(ORDER BY ...).;Когда требуется вычислить показатель по скользящему временному окну с использованием оконных функций.;5;2026-07-16 00:00:00;12;4;YES
rolling_self_join;sql;SQL Core;Time Series;"Требуется сравнить записи в диапазоне дат через соединение таблицы самой с собой; оконные функции использовать нельзя или нецелесообразно.";Когда задача на скользящее окно решается через SELF JOIN вместо оконных функций.;3;2026-07-16 00:00:00;3;3;YES
rolling_generate_series;sql;SQL Core;Time Series;"В данных отсутствуют даты; требуется generate_series, календарь или заполнение временной оси перед расчётами.";Когда необходимо сначала построить непрерывную временную шкалу, а затем выполнить расчёты по скользящему окну.;4;2026-07-16 00:00:00;2;3;YES
percentile_functions;sql;SQL Core;Window Functions;"Требуется найти медиану, квартиль, перцентиль, процентный ранг или накопленную долю наблюдений; используются функции PERCENTILE_CONT, PERCENTILE_DISC, PERCENT_RANK или CUME_DIST.";Когда необходимо определить положение значения в распределении или вычислить перцентиль с помощью функций распределения.;4;2026-07-16 00:00:00;7;4;YES
window_functions;sql;SQL Core;Window Functions;В условии требуется посчитать агрегат по окну, сохранив все строки результата: долю от общего, среднее по группе, максимум/минимум по окну, количество записей в окне, агрегаты OVER(PARTITION BY ...), но без LAG/LEAD, RANK, ROW_NUMBER, NTILE и других специализированных оконных функций.;Когда необходимо использовать агрегатные оконные функции (SUM, AVG, COUNT, MIN, MAX OVER), не относящиеся к специализированным паттернам ранжирования, смещения, процентилей, running totals или поиску событий.;5;2026-07-16 00:00:00;7;4;YES
rank_dense_rank;sql;SQL Core;Window Functions;"Нужно определить первое, второе, третье место; построить рейтинг; найти топ записей; пронумеровать строки.";Когда необходимо определить место объекта в ранжировании или выбрать запись с определенным рангом.;5;2026-07-16 00:00:00;15;5;YES
lag_lead;sql;SQL Core;Window Functions;"""Предыдущий"", ""следующий"", ""изменение относительно прошлого"", ""по сравнению с предыдущим"".";Когда требуется сравнить текущую запись с предыдущей или следующей.;5;2026-07-16 00:00:00;11;3;YES
topn_per_group;sql;SQL Core;Window Functions;"""Топ-3 в каждой категории"", ""самые дорогие товары по магазину"", ""первые N записей"".";Когда необходимо выбрать несколько лучших или худших записей в каждой группе.;5;2026-07-16 00:00:00;10;3;YES
forward_fill;sql;SQL Core;Window Functions;"""Заполнить пропуски"", ""перенести последнее известное значение"", ""восстановить значения"".";Когда необходимо заполнить пропущенные значения последним известным значением.;3;2026-07-16 00:00:00;13;6;YES
gaps_islands;sql;SQL Core;Window Functions;"Серии подряд; непрерывные даты; периоды активности; поиск разрывов.";Когда необходимо найти непрерывные последовательности или разрывы в данных.;5;2026-07-16 00:00:00;14;6;YES
ntile;sql;SQL Core;Window Functions;"В условии требуется разделить строки на N групп, квинтили, квартили, децили, корзины или сегменты; используется функция NTILE(n).";Когда необходимо разбить строки на заданное число примерно равных по размеру групп (корзин, квантилей, сегментов).;;2026-07-16 00:00:00;2;3;YES
row_number;sql;SQL Core;Window Functions;В условии есть слова «пронумеровать», «первый», «последний», «второй заказ», «последняя запись», «выбрать одну строку из каждой группы», «ROW_NUMBER()».;Когда нужно пронумеровать строки внутри группы или выбрать одну строку (первую/последнюю/N-ю).;;2026-07-16 00:00:00;17;4;YES
running_aggregates;sql;SQL Core;Window Functions;"Требуется нарастающий итог, накопительное среднее, накопительное количество, накопительный баланс или другой running-показатель; используется агрегатная функция OVER(ORDER BY ...).";Когда необходимо вычислить накопительное значение по упорядоченным данным с помощью агрегатной оконной функции.;;2026-07-16 00:00:00;13;5;YES
aggregation_concepts;sql;SQL Theory;Aggregation;GROUP BY, HAVING, WHERE vs HAVING, WHERE vs FILTER, COUNT(*) vs COUNT(column), COUNT(CASE...) vs SUM(CASE...), агрегатные функции без GROUP BY.;Когда необходимо объяснить принципы работы агрегирования и различия между агрегатными конструкциями.;5;2026-07-16 00:00:00;10;3;YES
constraints;sql;SQL Theory;Basics;PRIMARY KEY, FOREIGN KEY, UNIQUE, CHECK, NOT NULL, ссылочная целостность, CASCADE, NULL во внешнем ключе, ограничения таблиц.;Когда необходимо объяснить назначение ограничений базы данных и правила обеспечения целостности данных.;5;2026-07-16 00:00:00;13;3;YES
sql_commands;sql;SQL Theory;Basics;"DDL, DML, DCL, TCL; CREATE, ALTER, DROP, DELETE, TRUNCATE, INSERT, UPDATE, GRANT, COMMIT и т.п.";Когда требуется определить тип SQL-команды или объяснить её назначение.;4;2026-07-16 00:00:00;7;3;YES
cardinality;sql;SQL Theory;Data Modeling;"Один ко многим; многие ко многим; анализ связей между таблицами.";Когда требуется определить тип связи между таблицами.;5;2026-07-16 00:00:00;2;3;YES
table_relationships;sql;SQL Theory;Data Modeling;Один-к-одному, один-ко-многим, многие-ко-многим, таблицы-связки, проектирование связей.;Когда необходимо объяснить связи между таблицами и принципы построения реляционной модели.;4;2026-07-16 00:00:00;2;3;YES
dbms_architecture;sql;SQL Theory;DBMS;PostgreSQL vs MySQL, архитектура PostgreSQL, MVCC, особенности хранения данных, внутреннее устройство СУБД.;Когда необходимо объяснить особенности СУБД или сравнить различные системы управления базами данных.;3;2026-07-16 00:00:00;2;3;YES
join_concepts;sql;SQL Theory;Joins;Вопросы «почему JOIN дал больше строк», «когда использовать LEFT или INNER JOIN», «что такое кардинальность», «почему DISTINCT после JOIN может скрывать ошибку», «как избежать дубликатов после JOIN».;Когда необходимо объяснить принципы работы JOIN, причины появления дубликатов или потери строк, влияние кардинальности и использования DISTINCT после JOIN.;;2026-07-16 00:00:00;10;3;YES
null_handling;sql;SQL Theory;NULL Handling;NULL, IS NULL, COALESCE, NULLIF, COUNT(column), трехзначная логика, обработка пропусков.;Когда вопросы касаются логики работы NULL и способов его обработки.;5;2026-07-16 00:00:00;8;4;YES
indexes;sql;SQL Theory;Performance;Индексы, B-tree, EXPLAIN, Seq Scan, Index Scan, автоматическое создание индексов, оптимизация поиска.;Когда необходимо объяснить назначение индексов и их влияние на производительность запросов.;5;2026-07-16 00:00:00;3;3;YES
window_function_concepts;sql;SQL Theory;Window Functions;"Вопросы ""чем отличается LAG от LEAD"", ""ROW_NUMBER vs RANK"", ""PARTITION BY vs GROUP BY"", ""что делает OVER()"", ""какую оконную функцию выбрать"".";Когда необходимо объяснить принципы работы оконных функций и различия между ними без написания запроса.;4;2026-07-16 00:00:00;8;3;YES
one_sample_test_selection;statistics;Parametric Analysis;One Sample Tests;"В задаче одна выборка; нужно решить между one-sample t, z-тестом, χ² для дисперсии и т.п.";Когда необходимо выбрать параметрический критерий для одной выборки.;;2026-07-16 00:00:00;38;3;YES
paired_categorical_selection;statistics;Categorical Analysis;Paired Categorical;Нужно определить, использовать McNemar или Cochran's Q.;Когда необходимо выбрать критерий для связанных категориальных данных.;;2026-07-16 00:00:00;29;3;YES
interval_estimation;statistics;Estimation;Confidence Intervals;Нужно построить или рассчитать доверительный интервал.;Когда требуется оценить параметр с помощью доверительного интервала.;5;2026-07-16 00:00:00;23;4;YES
two_independent_test_selection;statistics;Parametric Analysis;Two Independent Samples;Нужно решить, применять t-test или Welch.;Когда необходимо выбрать критерий для двух независимых выборок.;;2026-07-16 00:00:00;22;3;YES
test_selection;statistics;Hypothesis Testing;Test Selection;"«Какой критерий выбрать?»; «Какой тест подходит?»; выбор между параметрическими и непараметрическими методами; выбор между несколькими ветками дерева статистических критериев; комплексные задачи на выбор метода анализа.";Когда необходимо выбрать подходящий статистический критерий среди различных разделов статистики. Задача требует определить тип данных, количество выборок, зависимость выборок, тип переменных, выполнение предпосылок или принадлежность к параметрическим/непараметрическим методам перед выбором конкретного теста.;;2026-07-16 00:00:00;50;4;YES
p_value;statistics;Hypothesis Testing;Foundations;Вопрос про p-value, его сравнение с α или смысл полученного значения.;Когда необходимо вычислить или интерпретировать p-value.;5;2026-07-16 00:00:00;16;5;YES
central_limit_theorem;statistics;Hypothesis Testing;Foundations;"Большая выборка; распределение выборочного среднего; применение нормального приближения.";Когда используется центральная предельная теорема для обоснования статистических выводов.;5;2026-07-16 00:00:00;15;4;YES
critical_region;statistics;Hypothesis Testing;Foundations;В условии есть α, распределение статистики и требуется определить критическую область или критическое значение.;Задачи на определение критических значений, критических областей, односторонних/двусторонних критериев.;;2026-07-16 00:00:00;15;3;YES
type1_type2;statistics;Hypothesis Testing;Decision Making;"Вопросы про ложноположительное или ложноотрицательное решение; ошибки I и II рода.";Когда анализируются ошибки первого и второго рода.;5;2026-07-16 00:00:00;13;4;YES
paired_test_selection;statistics;Parametric Analysis;Paired Samples;"В условии есть измерения ""до/после"", парные наблюдения, повторные измерения одной группы.";Когда необходимо выбрать критерий для двух зависимых выборок.;;2026-07-16 00:00:00;12;3;YES
nonparametric_multiple_independent_selection;statistics;Nonparametric Analysis;Multiple Independent Groups;Нужно определить, применять Kruskal–Wallis.;Когда необходимо выбрать непараметрический критерий для нескольких независимых выборок.;;2026-07-16 00:00:00;12;3;YES
multiple_independent_test_selection;statistics;Parametric Analysis;Multiple Independent Groups;Нужно выбрать между ANOVA и другими параметрическими критериями для нескольких независимых выборок.;Когда необходимо выбрать критерий для сравнения трёх и более независимых групп.;;2026-07-16 00:00:00;11;3;YES
one_sample_t_test;statistics;Parametric Analysis;One Sample Tests;"Одна выборка; сравнение с фиксированным значением; t-критерий для одной выборки.";Когда сравнивается среднее одной выборки с известным или предполагаемым значением.;5;2026-07-16 00:00:00;10;3;YES
normality_assessment;statistics;Assumption Tests;Normality;Нужно решить, требуется ли проверка нормальности, какой тест использовать или что означает результат проверки.;Когда требуется определить необходимость проверки нормальности или интерпретировать её результаты.;5;2026-07-16 00:00:00;9;3;YES
z_test;statistics;Parametric Analysis;One Sample Tests;"Известна σ генеральной совокупности; большая выборка; требуется Z-тест.";Когда сравниваются средние при известной дисперсии генеральной совокупности или очень большой выборке.;4;2026-07-16 00:00:00;9;3;YES
hypothesis_decision;statistics;Hypothesis Testing;Decision Making;"Нужно решить, отвергать H₀ или нет; сделать статистический вывод.";Когда требуется принять решение по результатам проверки гипотезы.;5;2026-07-16 00:00:00;9;3;YES
correlation_test_selection;statistics;Correlation;Correlation Mesuares;Нужно определить, использовать корреляцию Пирсона, Спирмена или Кендалла в зависимости от типа данных, распределения, наличия выбросов и характера связи.;Когда необходимо выбрать подходящий критерий для оценки связи между двумя переменными.;;2026-07-16 00:00:00;9;4;YES
mean_vs_median;statistics;Descriptive Statistics;Central Tendency;"Нужно решить, использовать среднее или медиану; обсуждается влияние выбросов или асимметрии распределения.";Когда необходимо выбрать подходящую меру центральной тенденции.;5;2026-07-16 00:00:00;8;3;YES
variable_types;statistics;Descriptive Statistics;Data Types;"Нужно определить: количественная или категориальная переменная; непрерывная или дискретная; номинальная или порядковая.";Когда необходимо определить тип переменной и выбрать подходящий метод анализа.;5;2026-07-16 00:00:00;8;3;YES
ab_testing_design;statistics;A/B Testing;Experiment Design;"MDE; размер выборки; peeking; early stopping; длительность эксперимента; мощность теста.";Когда необходимо спланировать корректный A/B-тест до его запуска или оценить корректность его проведения.;5;2026-07-16 00:00:00;8;3;YES
chi_square_variance_test;statistics;Parametric Analysis;One Sample Tests;"Проверка дисперсии одной нормально распределённой выборки; известное эталонное значение дисперсии; χ²-статистика.";Когда необходимо проверить гипотезу о значении дисперсии генеральной совокупности по одной нормально распределённой выборке с использованием χ²-критерия.;5;2026-07-16 00:00:00;8;3;YES
variance_assessment;statistics;Assumption Tests;Homogeneity of Variance;Нужно решить, следует ли проверять равенство дисперсий, какой критерий выбрать или как трактовать его результат.;Когда требуется определить необходимость проверки равенства дисперсий или интерпретировать результаты соответствующих критериев.;;2026-07-16 00:00:00;8;3;YES
nonparametric_two_independent_selection;statistics;Nonparametric Analysis;Two Independent Samples;Нужно определить, что следует использовать Mann–Whitney вместо параметрического теста.;Когда необходимо выбрать непараметрический критерий для двух независимых выборок.;;2026-07-16 00:00:00;8;3;YES
nonparametric_multiple_paired_selection;statistics;Nonparametric Analysis;Multiple Paired Groups;Нужно определить, применять Friedman.;Когда необходимо выбрать непараметрический критерий для нескольких зависимых выборок.;;2026-07-16 00:00:00;8;3;YES
sampling_design;statistics;Experimental Design;Sampling;"Вопросы о репрезентативности выборки; способ отбора объектов исследования; дизайн исследования.";Когда необходимо выбрать или оценить способ формирования выборки.;4;2026-07-16 00:00:00;7;3;YES
interval_interpretation;statistics;Estimation;Confidence Intervals;"Вопрос о смысле доверительного интервала; типичные ошибки интерпретации.";Когда необходимо правильно интерпретировать доверительный интервал.;5;2026-07-16 00:00:00;7;3;YES
standard_error;statistics;Estimation;Estimation Concepts;Нужно записать или использовать формулу SE, отличить её от стандартного отклонения.;Задачи на стандартную ошибку среднего или доли.;;2026-07-16 00:00:00;7;3;YES
multiple_testing_correction;statistics;Hypothesis Testing;Advanced Topics;"Поправка Бонферрони; Holm; множественные проверки; FWER; корректировка уровня значимости.";Когда одновременно проверяется несколько гипотез и необходимо контролировать вероятность ошибки первого рода.;5;2026-07-16 00:00:00;7;4;YES
spearman_correlation;statistics;Correlation;Correlation Mesuares;"Ранги; ненормальные данные; порядковая шкала; коэффициент Спирмена.";Когда требуется оценить монотонную связь между переменными без предположения о нормальности.;5;2026-07-16 00:00:00;7;3;YES
chi_square_independence;statistics;Categorical Analysis;Independence Tests;"Таблица сопряжённости; χ² независимости; категориальные признаки; связь между переменными; contingency table.";Когда необходимо проверить, существует ли статистическая зависимость между двумя категориальными признаками.;;2026-07-16 00:00:00;7;3;YES
nonparametric_paired_selection;statistics;Nonparametric Analysis;Paired Samples;Нужно определить, применять Wilcoxon или Sign test.;Когда необходимо выбрать непараметрический критерий для двух зависимых выборок.;;2026-07-16 00:00:00;7;3;YES
parametric_post_hoc_test_selection;statistics;Parametric Analysis;Post-hoc Tests;"После значимой ANOVA; требуется определить, какой post-hoc тест использовать; выбор между Tukey, Scheffé и другими параметрическими post-hoc критериями.";Когда после значимого результата параметрического теста для нескольких групп необходимо выбрать подходящий post-hoc критерий для попарных сравнений.;;2026-07-16 00:00:00;7;3;YES
association_measures;statistics;Categorical Analysis;Association Measures;Коэффициенты Крамера V, Чупрова T, сила связи категориальных признаков.;Когда необходимо оценить силу связи между категориальными признаками после проверки независимости.;4;2026-07-16 00:00:00;6;3;YES
anova;statistics;Parametric Analysis;Multiple Independent Groups;"Нужно сравнить 3 и более группы; проверяется различие средних; один фактор влияет на результат.";Когда необходимо сравнить средние значения более чем в двух независимых группах.;5;2026-07-16 00:00:00;6;4;YES
goodness_of_fit_selection;statistics;Categorical Analysis;Goodness of Fit;Нужно определить, подходит ли χ² goodness-of-fit.;Когда необходимо выбрать критерий согласия.;;2026-07-16 00:00:00;6;3;YES
z_test_two_proportions;statistics;Parametric Analysis;Two Independent Samples;"В условии сравниваются две конверсии, две доли успехов, два процента; две независимые группы; требуется проверить различие между долями.";Когда необходимо сравнить доли в двух независимых выборках.;;2026-07-16 00:00:00;6;3;YES
sample_size_estimation;statistics;Experimental Design;Sampling;"Размер выборки; минимальное n; формула объема выборки; доверительная вероятность; ошибка оценки; MDE.";Когда необходимо определить необходимый объем выборки для достижения заданной точности или мощности исследования.;5;2026-07-16 00:00:00;5;3;YES
hypothesis_formulation;statistics;Hypothesis Testing;Foundations;"Нужно записать H₀ и H₁; определить, что проверяется.";Когда необходимо сформулировать нулевую и альтернативную гипотезы.;5;2026-07-16 00:00:00;5;3;YES
paired_t_test;statistics;Parametric Analysis;Paired Samples;"До/после; одни и те же объекты; парные наблюдения; повторные измерения; paired t-test.";Когда сравниваются средние двух зависимых выборок при выполнении предпосылок параметрических тестов;5;2026-07-16 00:00:00;5;3;YES
mcnemar_test;statistics;Categorical Analysis;Paired Categorical Tests;"До/после; бинарный исход; парные наблюдения; таблица 2×2.";Когда сравниваются две зависимые бинарные выборки.;4;2026-07-16 00:00:00;5;3;YES
multiple_paired_test_selection;statistics;Parametric Analysis;Multiple Paired Groups;Несколько измерений одной и той же группы, repeated measures.;Когда необходимо выбрать критерий для повторных измерений или нескольких зависимых выборок.;;2026-07-16 00:00:00;5;3;YES
independence_categorical_selection;statistics;Categorical Analysis;Independence Tests;Нужно решить между χ² и точным критерием Фишера.;Когда необходимо выбрать критерий для проверки независимости категориальных признаков.;;2026-07-16 00:00:00;20;3;YES
z_test_one_proportion;statistics;Parametric Analysis;One Sample Tests;"В условии сравнивается наблюдаемая доля с известным значением (например, конверсия, доля брака, CTR); одна выборка; проверяется гипотеза о доле.";Когда необходимо проверить гипотезу об одной доле или построить статистику для одной доли при достаточно большой выборке.;;2026-07-16 00:00:00;5;3;YES
ecdf;statistics;Descriptive Statistics;ECDF;"Нужно построить или интерпретировать ECDF; определить долю наблюдений меньше заданного значения.";Когда требуется проанализировать эмпирическое распределение данных.;3;2026-07-16 00:00:00;4;3;YES
summary_statistics;statistics;Descriptive Statistics;Summary Statistics;Требуется описать выборку: среднее, медиану, разброс, минимум, максимум, квартили.;Когда необходимо описать данные с помощью основных статистических характеристик.;5;2026-07-16 00:00:00;4;3;YES
parameter_vs_statistic;statistics;Estimation;Estimation Concepts;"Вопрос про отличие параметра и статистики; генеральная совокупность и выборка.";Когда необходимо различить параметры генеральной совокупности и статистики выборки.;5;2026-07-16 00:00:00;4;3;YES
statistical_power;statistics;Hypothesis Testing;Decision Making;Вопросы про мощность теста, вероятность ошибки II рода или размер выборки.;Когда необходимо оценить вероятность обнаружить существующий эффект.;4;2026-07-16 00:00:00;4;3;YES
pearson_correlation;statistics;Correlation;Correlation Mesuares;"Две количественные переменные; коэффициент корреляции r; линейная зависимость.";Когда необходимо оценить линейную связь между двумя количественными переменными.;5;2026-07-16 00:00:00;4;4;YES
tukey_test;statistics;Parametric Analysis;Post-hoc Tests;"Выполнена ANOVA; требуется попарное сравнение всех групп.";Когда после ANOVA необходимо определить, какие именно группы отличаются между собой.;3;2026-07-16 00:00:00;4;3;YES
mann_whitney_test;statistics;Nonparametric Analysis;Two Independent Samples;Две независимые группы, данные ненормальны или порядковая шкала.;Сравнение двух независимых выборок при нарушении нормальности.;5;2026-07-16 00:00:00;4;4;YES
wilcoxon_test;statistics;Nonparametric Analysis;Paired Samples;"До/после; зависимые выборки; ненормальные данные; критерий Уилкоксона";Когда сравниваются две зависимые выборки при нарушении нормальности.;5;2026-07-16 00:00:00;4;3;YES
fisher_exact_test;statistics;Categorical Analysis;Independence Tests;"Маленькая выборка; таблица 2×2; точный критерий Фишера; ожидаемые частоты <5; альтернатива χ².";Когда необходимо проверить зависимость между двумя категориальными признаками при малых выборках или малых ожидаемых частотах.;;2026-07-16 00:00:00;4;3;YES
nonparametric_post_hoc_test_selection;statistics;Nonparametric Analysis;Post-hoc Tests;"После значимого критерия Краскела—Уоллиса; требуется определить, какой post-hoc тест использовать; выбор между Dunn и другими непараметрическими post-hoc критериями.";Когда после значимого результата непараметрического теста для нескольких групп необходимо выбрать подходящий post-hoc критерий для попарных сравнений.;;2026-07-16 00:00:00;4;3;YES
dependent_vs_independent_samples;statistics;Experimental Design;Study Design;"До/после; одни и те же участники; повторные измерения; разные группы пользователей; независимые группы; paired/unpaired";Когда необходимо определить, являются ли выборки зависимыми или независимыми перед выбором статистического теста.;5;2026-07-16 00:00:00;3;3;YES
data_transformation;statistics;Hypothesis Testing;Advanced Topics;"Логарифмирование; стандартизация; нормализация; преобразование распределения; подготовка данных к тесту.";Когда данные необходимо преобразовать перед статистическим анализом.;4;2026-07-16 00:00:00;3;3;YES
significance_level;statistics;Hypothesis Testing;Foundations;В условии фигурирует α=0.05, вероятность ошибки первого рода, уровень значимости.;Когда требуется выбрать или интерпретировать уровень значимости α.;5;2026-07-16 00:00:00;3;3;YES
shapiro_test;statistics;Assumption Tests;Normality;"Перед выбором параметрического теста требуется проверить нормальность данных; тест Шапиро—Уилка.";Когда необходимо проверить нормальность распределения выборки.;5;2026-07-16 00:00:00;3;3;YES
correlation;theory;Dependence;Covariance;"Коэффициент корреляции; связь между признаками; линейная зависимость.";Когда необходимо оценить силу и направление линейной связи между величинами.;5;2026-07-16 00:00:00;4;2;YES
correlation_interpretation;theory;Dependence;Covariance;"Что означает корреляция 0.8; отрицательная корреляция; отсутствие линейной связи.";Когда необходимо интерпретировать значение коэффициента корреляции.;5;2026-07-16 00:00:00;3;6;YES
covariance;theory;Dependence;Covariance;"Ковариация; совместная изменчивость; Cov(X,Y).";Когда требуется вычислить ковариацию двух случайных величин.;4;2026-07-16 00:00:00;8;4;YES
